MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"Warner Robins, GA",4388.0,623867.0,88168.0,21222.0,110503.0,53569.0,140404.0,12118.0,406770.0,72979.0,202837.0,17137.0,70158.0,51201.0,376605.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",42176.0,1232778.0,5238166.0,298765.0,1412804.0,850602.0,1956328.0,82544.0,412833.0,203659.0,1946165.0,399743.0,3458849.0,168202.0,727761.0
"Waterloo-Cedar Falls, IA",7296.0,3437648.0,45345.0,24332.0,154796.0,79301.0,135292.0,40688.0,2687.0,56003.0,12381.0,27494.0,183909.0,366.0,149303.0
"Watertown-Fort Drum, NY",9268.0,358618.0,1020252.0,19447.0,104800.0,62068.0,116245.0,72034.0,176239.0,75582.0,83371.0,213906.0,1020732.0,95254.0,446032.0
"Wausau, WI",6132.0,1933038.0,1062620.0,17030.0,86795.0,42679.0,179407.0,68140.0,37665.0,9312.0,265122.0,84967.0,45809.0,9795.0,687709.0
"Weirton-Steubenville, WV-OH",6279.0,6145.0,949353.0,20290.0,57728.0,39472.0,113047.0,1397.0,3879.0,13309.0,132473.0,36183.0,303028.0,17734.0,1857.0
"Wenatchee, WA",394384.0,1647207.0,19622.0,23611.0,141621.0,82476.0,211129.0,23381.0,3892278.0,3379312.0,26638.0,308287.0,50399.0,3613478.0,62836.0
"Wheeling, WV-OH",9702.0,2636.0,1416227.0,22651.0,67591.0,48067.0,165605.0,5058.0,6003.0,26518.0,312729.0,44620.0,599804.0,38037.0,4188.0
"Wichita Falls, TX",51130.0,1287036.0,244473.0,32991.0,102905.0,98739.0,142656.0,16818.0,368.0,4521544.0,220.0,156757.0,21253.0,1014473.0,5824.0
"Wichita, KS",8981.0,6762261.0,492399.0,87438.0,424282.0,223337.0,491421.0,19059.0,135.0,5606967.0,12923.0,173923.0,105297.0,3739.0,114578.0
"Williamsport, PA",5926.0,166144.0,1541949.0,13712.0,57884.0,29590.0,163730.0,10799.0,72398.0,14304.0,1029186.0,27351.0,406184.0,19526.0,20712.0
"Wilmington, NC",19091.0,275920.0,1208.0,23831.0,141547.0,79800.0,153208.0,134320.0,718608.0,75251.0,28921.0,125193.0,4793.0,123171.0,1266521.0
"Winchester, VA-WV",4603.0,34027.0,1647747.0,12811.0,67776.0,36245.0,162093.0,792.0,56936.0,25036.0,378414.0,13939.0,616576.0,19083.0,898.0
"Winston-Salem, NC",7038.0,291502.0,2153422.0,49074.0,324414.0,127264.0,643575.0,4211.0,347841.0,117114.0,475535.0,79155.0,1106545.0,106990.0,36955.0
"Worcester, MA-CT",29952.0,44961.0,1832829.0,101135.0,337495.0,296595.0,347027.0,50227.0,437405.0,66256.0,1253599.0,198166.0,271529.0,52538.0,724719.0
"Yakima, WA",104233.0,1657160.0,8093.0,26821.0,211223.0,104022.0,268798.0,88246.0,3773414.0,3621831.0,5845.0,53340.0,75506.0,2269078.0,120144.0
"York-Hanover, PA",5516.0,769578.0,643266.0,39546.0,173571.0,79688.0,285870.0,2865.0,9908.0,7046.0,176414.0,17956.0,370022.0,24673.0,14710.0
"Youngstown-Warren-Boardman, OH-PA",15195.0,720646.0,1809599.0,57322.0,364040.0,139347.0,439246.0,28271.0,14428.0,34521.0,120829.0,106522.0,852683.0,19317.0,298084.0
"Yuba City, CA",31366.0,1869042.0,51807.0,14763.0,69990.0,62000.0,127618.0,45932.0,558235.0,433681.0,25995.0,55545.0,3786.0,235328.0,19142.0
"Yuma, AZ",2934969.0,845412.0,193.0,24132.0,83322.0,80360.0,127785.0,30936.0,26.0,571709.0,206.0,14767.0,17333.0,11085891.0,60599.0
