Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,0,0,0
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,0,0,0
Niagara Frontier Transportation Authority,Buffalo,NY,Erie,22821,241185,100019,1602878
Niagara Frontier Transportation Authority,Buffalo,NY,Erie,1327161,0,7404163,0
Niagara Frontier Transportation Authority,Buffalo,NY,Erie,0,0,0,0
Rhode Island Public Transit Authority,Providence,RI,Providence,282314,5573,2252874,99739
Rhode Island Public Transit Authority,Providence,RI,Providence,0,0,0,0
Rhode Island Public Transit Authority,Providence,RI,Providence,0,31579,0,81089
Rhode Island Public Transit Authority,Providence,RI,Providence,1973806,0,9637578,0
Suburban Mobility Authority for Regional Transportation,Detroit,MI,Wayne,31631,0,200776,0
Transit Authority of River City,Louisville,KY,Jefferson,10282,347041,116476,2641851
Transit Authority of River City,Louisville,KY,Jefferson,0,0,0,0
Suburban Mobility Authority for Regional Transportation,Detroit,MI,Wayne,2222306,0,10242345,0
Suburban Mobility Authority for Regional Transportation,Detroit,MI,Wayne,38840,1749,315863,4191
Transit Authority of River City,Louisville,KY,Jefferson,5126,0,42799,0
Transit Authority of River City,Louisville,KY,Jefferson,1456796,0,6776018,0
Central Ohio Transit Authority,Columbus,OH,Franklin,225341,26704,2392654,272783
Central Ohio Transit Authority,Columbus,OH,Franklin,1173617,0,4822643,0
Central Ohio Transit Authority,Columbus,OH,Franklin,0,7110,0,0
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,Sacramento,0,0,0,0
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,Sacramento,29823,93007,132709,355107
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,Sacramento,0,57772,0,0
Greater Richmond Transit Company,Richmond,VA,Richmond,0,0,0,0
Southwest Ohio Regional Transit Authority,Cincinnati,OH,Hamilton,102325,0,0,0
Greater Richmond Transit Company,Richmond,VA,Richmond,0,0,0,0
Southwest Ohio Regional Transit Authority,Cincinnati,OH,Hamilton,2110071,0,9358991,0
Greater Richmond Transit Company,Richmond,VA,Richmond,0,0,0,0
Greater Richmond Transit Company,Richmond,VA,Richmond,0,213340,0,2890220
Greater Richmond Transit Company,Richmond,VA,Richmond,346019,0,1473814,0
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,Pinellas,46737,38347,293115,177771
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,Pinellas,2071734,0,9224984,0
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,Pinellas,0,0,0,0
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,Pinellas,0,197083,0,0
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,0,9194,0,0
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,31912,0,790858,0
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,0,0,0,0
City of Tucson,Tucson   ,AZ,Pima,0,0,0,0
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,0,100954,0,940768
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,0,14988,0,199784
City of Tucson,Tucson   ,AZ,Pima,0,0,6609903,0
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,660489,9194,2382061,93934
City of Tucson,Tucson   ,AZ,Pima,698,514068,3787,3051609
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,8994,0,0
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,88734,0,500068
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,50624,0,215886
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,306127,0,1694544
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,0,2191676,0
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,20739,0,162755
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,0,0,0
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,188009,0,2529549
Spokane Transit Authority,Spokane,WA,Spokane,0,40443,0,688555
