MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Seattle-Tacoma-Bellevue, WA",14071695,1635190,399391,1558556,702782,0,36598118,1646682,64404265,17550198,0,6460680,2019221,6574200,343038
"Sebastian-Vero Beach, FL",95196,79193,0,0,0,0,0,0,659981,581130,0,0,0,0,0
"Sherman-Denison, TX",0,62557,0,0,0,0,0,0,0,484096,0,0,0,0,0
"Shreveport-Bossier City, LA",0,146460,0,287786,0,0,0,265760,0,522869,0,1298279,0,0,83084
"Sioux City, IA-NE-SD",132902,26215,0,0,0,0,0,0,556718,180594,0,0,0,0,0
"Sioux Falls, SD",168437,0,0,0,0,0,0,0,931994,0,0,0,0,0,0
"South Bend-Mishawaka, IN-MI",240790,56760,0,138903,0,0,0,0,1321963,525759,0,579032,0,0,0
"Spartanburg, SC",0,156182,5351,0,0,0,0,0,0,395904,0,0,38910,0,0
"Spokane-Spokane Valley, WA",1323191,123409,0,0,0,0,0,0,9028211,1491283,0,0,0,0,0
"Springfield, IL",0,90905,0,237301,167039,0,0,0,1040198,577912,0,510837,0,0,0
"Springfield, MA",1080075,307684,0,0,0,0,0,154874,3123717,2223689,0,0,0,0,67374
"Springfield, MO",204255,17420,0,0,0,0,0,0,905580,125850,0,0,0,0,0
"St. Cloud, MN",67539,0,0,344362,0,0,0,0,411673,0,0,1446828,0,0,0
"St. Louis, MO-IL",9946129,154885,0,0,0,0,72992296,0,48501904,1045025,0,0,0,11868756,0
"State College, PA",341,73839,0,539333,0,0,0,0,5546,834565,0,1654915,0,0,0
"Stockton, CA",834133,273001,0,0,89299,0,0,652030,1930586,1764981,0,0,0,0,236651
"Sumter, SC",18425,65151,4340,0,0,0,0,0,78028,837472,0,0,81321,0,0
"Syracuse, NY",337602,202481,0,893482,0,0,0,0,1798119,728196,0,2885314,0,0,0
"Tallahassee, FL",1584436,48767,0,200860,0,0,0,147473,2207793,92122,0,497558,0,0,139507
"Tampa-St. Petersburg-Clearwater, FL",3573829,575423,0,1142321,0,0,738468,58322,15306098,3040561,0,4463678,0,114746,22508
"Terre Haute, IN",27344,44515,0,0,0,0,0,0,207175,80374,0,0,0,0,0
"Toledo, OH",0,2133,0,0,596805,0,0,0,2882554,1,0,0,0,0,0
"Topeka, KS",183010,24429,0,0,0,0,0,0,928159,145050,0,0,0,0,0
"Tucson, AZ",698,532797,0,902015,1671027,0,1833440,2845,6613690,3125398,0,2898522,0,202583,0
"Tulsa, OK",101722,30121,0,534007,0,0,0,0,635762,301212,0,3583403,0,0,0
"Urban Honolulu, HI",5201984,1217903,0,0,0,0,0,0,22127139,7398500,0,0,0,0,0
"Vallejo, CA",458985,49048,0,335189,0,0,0,18249,2284864,324053,0,988700,0,0,22557
"Victoria, TX",19396,127787,0,0,0,0,0,0,31448,864765,0,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",2175783,524449,0,0,0,0,3318000,0,9026561,618056,0,0,0,345837,0
"Visalia, CA",0,12241,0,649804,0,0,0,0,0,110267,0,2201314,0,0,0
"Waco, TX",189872,19157,0,0,0,0,0,0,1662777,422856,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",19323809,3294988,24977,5425047,0,0,577641486,1289204,79224947,51901405,0,17476113,118078,65032855,256292
"Wenatchee, WA",196634,95814,15730,0,0,0,0,397760,1121699,502034,0,0,181285,0,0
"Wheeling, WV-OH",114593,36495,0,0,0,0,0,0,543237,98694,0,0,0,0,0
"Wichita, KS",281514,87397,0,0,0,0,0,185000,1520987,664122,0,0,0,0,0
"Williamsport, PA",54976,8760,0,202796,0,0,0,0,195957,3550,0,708455,0,0,0
